Income,Limit,Rating,Cards,Age,Education,Own,Student,Married,Region,Balance
37.728,2525,192,1,44,13,No,No,Yes,South,0
27.578,2531,195,1,34,15,Yes,No,Yes,South,0
41.192,3673,297,3,54,16,Yes,No,Yes,South,121
149.316,10278,707,1,80,16,No,No,No,East,1107
76.348,4697,344,4,60,18,No,No,No,West,108
14.595,2955,260,5,37,9,No,No,Yes,East,204
50.699,3977,304,2,84,17,Yes,No,No,East,69
24.088,3665,287,4,56,13,Yes,No,Yes,South,309
26.813,5611,411,4,55,16,Yes,No,No,South,915
14.711,2047,167,2,67,6,No,No,Yes,South,0
121.834,10673,750,3,54,16,No,No,No,East,1573
19.782,3782,293,2,46,16,Yes,Yes,No,South,840
83.869,7667,554,2,83,11,No,No,No,East,930
31.029,2863,223,2,66,17,No,Yes,Yes,West,415
25.078,3096,236,2,27,15,Yes,No,Yes,South,81
66.989,5614,430,3,47,14,Yes,No,Yes,South,482
39.116,2150,173,4,75,15,No,No,No,South,0
80.18,8047,569,4,77,10,No,No,No,South,1151
110.968,6662,468,3,45,11,Yes,No,Yes,South,391
27.512,4613,344,5,72,17,No,No,Yes,West,573
62.602,7056,481,1,84,11,Yes,No,No,South,904
20.918,1233,128,3,47,18,Yes,Yes,Yes,West,16
24.824,5495,409,1,33,9,No,Yes,No,South,1352
34.909,5289,410,2,62,16,Yes,No,Yes,South,681
36.496,4378,339,3,69,15,Yes,No,Yes,West,368
30.733,2832,249,4,51,13,No,No,No,South,0
61.069,7871,564,3,56,14,No,No,Yes,South,1264
73.914,7333,529,6,67,15,Yes,No,Yes,South,1048
53.217,4943,362,2,46,16,Yes,No,Yes,West,382
10.842,4391,358,5,37,10,Yes,Yes,Yes,South,1216
53.48,4263,317,1,83,15,No,No,No,South,99
55.882,4897,357,2,68,16,No,No,Yes,South,331
25.383,4527,367,4,46,11,No,No,Yes,South,570
163.329,8732,636,3,50,14,No,No,Yes,South,529
20.996,3388,259,2,37,12,Yes,No,No,East,203
27.369,3449,288,3,40,9,Yes,No,Yes,South,162
10.354,3480,281,2,70,17,No,No,Yes,South,333
68.713,7582,531,2,56,16,No,Yes,No,South,1587
57.872,4171,321,5,67,12,Yes,No,Yes,South,138
107.841,10384,728,3,87,7,No,No,No,East,1597
25.988,1349,142,4,82,12,No,No,No,South,0
57.337,5310,392,2,45,7,Yes,No,No,South,456
36.934,4270,299,1,63,9,Yes,No,Yes,South,283
30.682,1671,160,2,77,7,Yes,No,No,South,0
26.4,5640,398,3,58,15,Yes,No,No,West,905
152.298,12066,828,4,41,12,Yes,No,Yes,West,1779
83.948,7100,503,2,44,18,No,No,No,South,806
75.406,3874,298,3,41,14,Yes,No,Yes,West,0
115.52,9272,656,2,69,14,No,No,No,East,1140
128.04,6982,518,2,78,11,Yes,No,Yes,South,250
12,4160,320,4,28,14,Yes,No,Yes,South,602
15.079,5673,411,4,28,15,Yes,No,Yes,West,1075
69.943,7555,547,3,76,9,No,No,Yes,West,1058
49.57,6384,448,1,28,9,Yes,No,Yes,West,891
65.896,5140,370,1,49,17,Yes,No,Yes,South,293
18.036,1552,142,2,48,15,Yes,No,No,South,0
30.413,3690,299,2,25,15,Yes,Yes,No,West,728
91.362,9113,626,1,47,17,No,No,Yes,West,1341
41.4,2561,215,2,36,14,No,No,Yes,South,0
53.566,5891,434,4,82,10,Yes,No,No,South,712
39.11,3189,263,3,72,12,No,No,No,West,0
11.187,5099,380,4,69,16,Yes,No,No,East,889
