house_id,house_age,distance_MRT,number_convenience_stores,latitude,longitude
210,5.2,390.5684,5,24.97937,121.54245
190,35.3,616.5735,8,24.97945,121.53642
328,15.9,1497.713,3,24.97003,121.51696
5,7.1,2175.03,3,24.96305,121.51254
412,8.1,104.8101,5,24.96674,121.54067
209,34.8,175.6294,8,24.97347,121.54271
11,6.3,90.45606,9,24.97433,121.5431
199,18.2,451.6419,8,24.96945,121.5449
64,17.5,995.7554,0,24.96305,121.54915
184,14.1,2615.465,0,24.95495,121.56174
61,5.3,259.6607,6,24.97585,121.54516
263,3.9,2147.376,3,24.96299,121.51284
369,20.2,2185.128,3,24.96322,121.51237
368,18.2,350.8515,1,24.97544,121.53119
305,16.2,289.3248,5,24.98203,121.54348
6,34.5,623.4731,7,24.97933,121.53642
78,38.2,552.4371,2,24.97598,121.53381
196,22.8,707.9067,2,24.981,121.54713
58,30.3,4510.359,1,24.94925,121.49542
308,16.4,289.3248,5,24.98203,121.54348
94,40.9,167.5989,5,24.9663,121.54026
373,0.0,274.0144,1,24.9748,121.53059
57,3.5,56.47425,7,24.95744,121.53711
388,10.4,2251.938,4,24.95957,121.51353
73,13.8,4082.015,0,24.94155,121.50381
247,21.7,1055.067,0,24.96211,121.54928
370,15.9,289.3248,5,24.98203,121.54348
91,9.1,1402.016,0,24.98569,121.5276
72,32.5,424.5442,8,24.97587,121.53913
395,21.2,512.5487,4,24.974,121.53842
311,21.3,537.7971,4,24.97425,121.53814
96,6.4,90.45606,9,24.97433,121.5431
297,34.9,567.0349,4,24.97003,121.5458
95,8.0,104.8101,5,24.96674,121.54067
107,12.2,1360.139,1,24.95204,121.54842
379,0.0,292.9978,6,24.97744,121.54458
220,37.2,186.5101,9,24.97703,121.54265
390,32.8,377.8302,9,24.97151,121.5435
259,17.7,837.7233,0,24.96334,121.54767
239,18.1,837.7233,0,24.96334,121.54767
216,37.8,590.9292,1,24.97153,121.53559
406,1.9,372.1386,7,24.97293,121.54026
378,37.3,587.8877,8,24.97077,121.54634
407,5.2,2408.993,0,24.95505,121.55964
164,0.0,185.4296,0,24.9711,121.5317
366,14.2,1801.544,1,24.95153,121.55254
227,32.4,265.0609,8,24.98059,121.53986
55,31.7,1160.632,0,24.94968,121.53009
180,26.9,4449.27,0,24.94898,121.49621
361,41.4,281.205,8,24.97345,121.54093
306,14.4,169.9803,1,24.97369,121.52979
42,36.1,519.4617,5,24.96305,121.53758
84,15.1,383.2805,7,24.96735,121.54464
310,16.4,1643.499,2,24.95394,121.55174
105,0.0,292.9978,6,24.97744,121.54458
363,32.3,109.9455,10,24.98182,121.54086
355,3.8,383.8624,5,24.98085,121.54391
371,4.1,312.8963,5,24.95591,121.53956
303,38.3,439.7105,0,24.97161,121.53423
167,28.2,330.0854,8,24.97408,121.54011
35,13.9,4079.418,0,25.01459,121.51816
258,0.0,292.9978,6,24.97744,121.54458
179,14.0,438.8513,1,24.97493,121.5273
408,18.5,2175.744,3,24.9633,121.51243
312,35.4,318.5292,9,24.97071,121.54069
36,14.7,1935.009,2,24.96386,121.51458
178,13.1,1144.436,4,24.99176,121.53456
143,13.6,492.2313,5,24.96515,121.53737
273,13.2,170.1289,1,24.97371,121.52984
326,4.1,56.47425,7,24.95744,121.53711
318,7.1,379.5575,10,24.98343,121.53762
365,17.3,2261.432,4,24.96182,121.51222
411,18.8,390.9696,7,24.97923,121.53986
168,27.6,515.1122,5,24.96299,121.5432
244,4.8,1559.827,3,24.97213,121.51627
40,13.6,4082.015,0,24.94155,121.50381
132,26.6,482.7581,5,24.97433,121.53863
154,16.9,4066.587,0,24.94297,121.50342
268,17.2,390.5684,5,24.97937,121.54245
33,16.5,323.655,6,24.97841,121.54281
281,4.7,387.7721,9,24.98118,121.53788
79,18.0,1414.837,1,24.95182,121.54887
206,22.2,379.5575,10,24.98343,121.53762
254,1.1,329.9747,5,24.98254,121.54395
384,16.1,4066.587,0,24.94297,121.50342
126,38.6,804.6897,4,24.97838,121.53477
