Id,BldgType,HouseStyle,OverallQual,GrLivArea,SalePrice,Neighborhood,LotArea,TotRmsAbvGrd
15,1Fam,1Story,6,1253,157000,NAmes,10920,5
17,1Fam,1Story,6,1004,149000,NAmes,11241,5
20,1Fam,1Story,5,1339,139000,NAmes,7560,6
27,1Fam,1Story,5,900,134800,NAmes,7200,5
29,1Fam,1Story,5,1600,207500,NAmes,16321,6
34,1Fam,1Story,5,1700,165500,NAmes,10552,6
38,1Fam,1Story,5,1297,153000,NAmes,8532,5
39,1Fam,1Story,5,1057,109000,NAmes,7922,5
41,1Fam,1Story,6,1324,160000,NAmes,8658,6
45,1Fam,1Story,5,1150,141000,NAmes,7945,6
55,1Fam,SLvl,5,1360,130000,NAmes,7134,6
56,1Fam,1Story,6,1425,180500,NAmes,10175,7
67,1Fam,1Story,7,2207,180000,NAmes,19900,7
71,1Fam,1Story,7,2223,244000,NAmes,13651,8
74,1Fam,1Story,5,1086,144900,NAmes,10200,6
77,1Fam,1Story,4,952,135750,NAmes,8475,4
81,1Fam,2Story,6,2142,193500,NAmes,13000,8
84,1Fam,1Story,5,1065,126500,NAmes,8892,6
91,1Fam,1Story,4,1040,109900,NAmes,7200,4
92,1Fam,1Story,5,1235,98600,NAmes,8500,6
100,1Fam,1Story,4,1225,128950,NAmes,9320,6
123,1Fam,1Story,6,1080,136000,NAmes,9464,5
129,1Fam,2Story,6,1348,155000,NAmes,7590,6
130,1Fam,1Story,5,1053,150000,NAmes,8973,6
131,1Fam,2Story,7,2157,226000,NAmes,14200,8
133,1Fam,1Story,5,1327,150750,NAmes,7388,7
137,1Fam,1Story,5,1214,143000,NAmes,10355,5
141,1Fam,1Story,4,864,115000,NAmes,10500,5
143,1Fam,1.5Fin,5,1385,166000,NAmes,8520,6
157,1Fam,1Story,5,1040,109500,NAmes,7200,5
172,1Fam,1Story,6,1656,215000,NAmes,31770,7
174,1Fam,1Story,6,1362,163000,NAmes,10197,6
192,1Fam,2Story,7,1479,184000,NAmes,7472,7
198,1Fam,2Story,8,3112,235000,NAmes,25419,8
208,1Fam,1Story,4,1100,141000,NAmes,12493,6
210,1Fam,1Story,6,1092,145000,NAmes,8250,6
216,1Fam,1Story,5,1236,134450,NAmes,10011,6
224,1Fam,1Story,4,864,97000,NAmes,10500,4
231,1Fam,1Story,6,1194,148000,NAmes,8760,6
248,1Fam,1Story,6,1375,140000,NAmes,11310,5
254,1Fam,SLvl,6,1302,158000,NAmes,9350,7
255,1Fam,1Story,5,1314,145000,NAmes,8400,5
261,1Fam,SLvl,6,1382,176000,NAmes,19296,6
274,1Fam,1Story,6,1632,139000,NAmes,9600,6
287,1Fam,1.5Fin,6,1734,159000,NAmes,9786,7
288,1Fam,1Story,4,858,88000,NAmes,8125,5
295,1Fam,1Story,6,1644,167000,NAmes,9600,7
312,1Fam,1Story,6,972,132000,NAmes,8000,5
325,1Fam,SLvl,7,2978,242000,NAmes,11275,11
328,1Fam,1Story,6,1383,145250,NAmes,11600,7
331,Duplex,1Story,5,1728,119000,NAmes,10624,10
332,1Fam,1Story,5,1056,139000,NAmes,8176,6
340,1Fam,1Story,6,1215,155000,NAmes,12400,6
343,Duplex,1Story,3,1040,87500,NAmes,8544,6
347,1Fam,1Story,6,958,151500,NAmes,12772,5
348,1Fam,1Story,6,1478,157500,NAmes,17600,6
367,1Fam,1Story,6,1394,159000,NAmes,9500,6
368,1Fam,SLvl,6,1431,165000,NAmes,9150,6
369,1Fam,1Story,5,1268,132000,NAmes,7800,7
370,1Fam,1Story,5,1287,162000,NAmes,9830,7
374,1Fam,1Story,5,1319,123000,NAmes,10634,5
393,1Fam,1Story,5,882,106500,NAmes,8339,5
398,1Fam,2Story,5,1812,169500,NAmes,7590,8
420,1Fam,1Story,5,1056,142000,NAmes,8450,6
425,1Fam,1Story,6,1196,139000,NAmes,9000,6
428,1Fam,1Story,4,907,109008,NAmes,8593,5
447,1Fam,1Story,6,1888,190000,NAmes,16492,6
467,1Fam,1Story,7,1277,167000,NAmes,10628,5
468,1Fam,2Story,5,1644,146500,NAmes,9480,7
486,1Fam,1Story,5,1113,147000,NAmes,9600,5
487,1Fam,1Story,5,1073,156000,NAmes,10289,6
492,1Fam,1.5Fin,6,1578,133000,NAmes,9490,5
494,1Fam,1Story,5,1269,155000,NAmes,7931,6
500,1Fam,1Story,5,912,120000,NAmes,7535,5
510,1Fam,1Story,5,1041,124500,NAmes,9600,6
511,1Fam,1Story,5,1363,164900,NAmes,14559,6
513,1Fam,1Story,5,864,129900,NAmes,9100,5
522,1Fam,1Story,6,1244,150000,NAmes,11988,6
527,1Fam,1Story,5,928,132000,NAmes,13300,4
533,1Fam,1Story,5,827,107500,NAmes,7200,5
538,1Fam,1Story,4,864,111250,NAmes,12735,5
544,TwnhsE,SFoyer,7,767,133000,NAmes,4058,4
557,1Fam,1Story,5,1092,141000,NAmes,14850,6
570,Duplex,SFoyer,5,943,135960,NAmes,7032,4
571,Duplex,1Story,5,1728,142600,NAmes,13101,10
572,1Fam,1Story,6,864,120000,NAmes,7332,4
575,1Fam,SLvl,5,1109,139000,NAmes,10500,5
576,1Fam,1.5Fin,5,1216,118500,NAmes,8480,6
581,1Fam,1Story,6,1429,181900,NAmes,14585,7
606,1Fam,2Story,7,1986,205000,NAmes,13600,7
616,1Fam,SFoyer,6,1054,137500,NAmes,8800,6
618,1Fam,1.5Unf,6,832,105500,NAmes,7227,4
626,1Fam,1Story,6,1116,160000,NAmes,10000,5
627,1Fam,1Story,5,1422,139900,NAmes,12342,6
628,1Fam,SLvl,6,1520,153000,NAmes,9600,7
629,1Fam,2Story,5,2080,135000,NAmes,11606,9
630,1Fam,SLvl,6,1350,168500,NAmes,9020,6
634,1Fam,1Story,5,1056,139400,NAmes,9250,6
643,1Fam,SLvl,8,2704,345000,NAmes,13860,9
646,1Fam,1Story,6,981,143250,NAmes,10530,5
647,1Fam,1Story,5,1048,98300,NAmes,7200,7
649,1Fam,2Story,6,1839,155000,NAmes,7700,7
657,1Fam,1Story,5,1053,145500,NAmes,10007,5
659,1Fam,1.5Fin,6,1458,97500,NAmes,17503,6
663,1Fam,1Story,6,1392,110000,NAmes,13560,5
667,1Fam,2Story,6,2380,129000,NAmes,18450,7
675,1Fam,1Story,6,1136,140000,NAmes,9200,5
723,1Fam,1Story,4,864,124500,NAmes,8120,5
726,1Fam,1Story,4,864,120500,NAmes,6960,5
729,Duplex,1Story,5,1776,110000,NAmes,11475,9
737,Duplex,1Story,3,1040,93500,NAmes,8544,6
755,1Fam,1Story,6,1026,156000,NAmes,7930,5
761,1Fam,1Story,6,864,127500,NAmes,9100,5
774,1Fam,1Story,5,912,114500,NAmes,10150,5
798,1Fam,1Story,5,773,110000,NAmes,7677,4
805,1Fam,1Story,5,1128,118000,NAmes,9000,5
807,1Fam,SLvl,5,980,135500,NAmes,9750,6
809,1Fam,SLvl,5,1086,159950,NAmes,13400,6
814,1Fam,1Story,6,1442,157900,NAmes,9750,7
817,1Fam,1Story,5,1008,137000,NAmes,11425,4
831,1Fam,1Story,6,1392,166000,NAmes,11900,6
834,1Fam,1Story,6,1516,167000,NAmes,10004,6
835,1Fam,1Story,5,1144,139950,NAmes,7875,6
843,1Fam,SLvl,6,1165,174900,NAmes,9020,6
844,Duplex,1Story,5,1800,141000,NAmes,8000,10
854,1Fam,SLvl,6,1445,158000,NAmes,12095,7
864,1Fam,1Story,5,1148,132500,NAmes,7931,6
866,1Fam,1Story,5,1002,148500,NAmes,8750,5
871,1Fam,1Story,5,894,109500,NAmes,6600,5
873,1Fam,1Story,5,910,116000,NAmes,8892,5
874,1Fam,1Story,5,1268,133000,NAmes,12144,6
885,1Fam,1Story,5,892,100000,NAmes,7150,5
887,Duplex,1Story,5,1712,145000,NAmes,8393,8
889,1Fam,1Story,8,2217,268000,NAmes,15865,8
890,1Fam,1Story,6,1505,149500,NAmes,12160,6
