Id,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
259,60,12435,7,5,2001,2001,361,0,602,963,963,829,0,1792,0,0,2,1,3,1,7,1,2,564,0,96,0,245,0,0,0,5,2008,231500
268,75,8400,5,8,1939,1997,378,0,342,720,1052,720,420,2192,0,0,2,1,4,1,8,1,1,240,262,24,0,0,0,0,0,7,2008,179500
289,20,9819,5,5,1967,1967,450,0,432,882,900,0,0,900,0,0,1,0,3,1,5,0,1,280,0,0,0,0,0,0,0,2,2010,122000
650,180,1936,4,6,1970,1970,131,499,0,630,630,0,0,630,1,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,12,2007,84500
1234,20,12160,5,5,1959,1959,1000,0,188,1188,1188,0,0,1188,1,0,1,0,3,1,6,0,2,531,0,0,0,0,0,0,0,5,2010,142000
168,60,10562,8,5,2007,2007,1288,0,294,1582,1610,551,0,2161,1,0,1,1,3,1,8,1,3,789,178,120,0,0,0,0,0,11,2007,325624
927,60,11999,8,5,2003,2004,0,0,1181,1181,1234,1140,0,2374,0,0,2,1,4,1,10,1,3,656,104,100,0,0,0,0,0,5,2007,285000
832,160,3180,7,5,2005,2005,0,0,600,600,520,600,80,1200,0,0,2,1,2,1,4,0,2,480,0,166,0,0,0,0,0,6,2006,151000
1238,60,12393,7,5,2004,2005,0,0,847,847,847,1101,0,1948,0,0,2,1,4,1,8,1,2,434,100,48,0,0,0,0,0,9,2006,195000
427,80,12800,7,5,1989,1989,1518,0,0,1518,1644,0,0,1644,1,1,2,0,2,1,5,1,2,569,80,0,0,0,396,0,0,8,2009,275000
488,20,12243,5,6,1971,1971,998,0,486,1484,1484,0,0,1484,0,0,2,0,3,1,7,1,2,487,224,0,0,0,180,0,0,2,2007,175000
376,30,10020,1,1,1922,1950,350,0,333,683,904,0,0,904,1,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,3,2009,61000
1127,120,3684,7,5,2007,2007,0,0,1373,1373,1555,0,0,1555,0,0,2,0,2,1,7,1,3,660,143,20,0,0,0,0,0,6,2009,174000
54,20,50271,9,5,1981,1987,1810,0,32,1842,1842,0,0,1842,2,0,0,1,0,1,5,1,3,894,857,72,0,0,0,0,0,11,2006,385000
1034,20,8125,7,5,2002,2002,986,0,668,1654,1654,0,0,1654,1,0,2,0,3,1,6,0,3,900,0,136,0,0,0,0,0,2,2006,230000
1023,50,9439,5,5,1930,1950,324,0,588,912,912,336,0,1248,0,0,1,0,2,1,6,0,1,160,0,0,192,0,0,0,0,3,2007,87000
1216,20,7094,5,5,1966,1966,180,374,340,894,894,0,0,894,0,0,1,0,3,1,5,0,1,384,0,0,0,0,0,0,0,5,2007,125000
92,20,8500,5,3,1961,1961,600,0,635,1235,1235,0,0,1235,0,0,1,0,2,1,6,0,2,480,0,0,0,0,0,0,0,12,2006,98600
1271,40,23595,7,6,1979,1979,1258,0,74,1332,1332,192,0,1524,2,0,0,1,0,1,4,1,2,586,268,0,0,0,0,0,0,4,2010,260000
681,120,8012,6,5,1980,1980,543,119,261,923,923,0,0,923,0,0,2,0,2,1,5,1,1,264,80,0,0,0,0,0,0,5,2010,143000
465,20,8430,5,5,1978,1978,616,0,424,1040,1040,0,0,1040,0,0,2,0,3,1,5,0,0,0,0,0,0,0,0,0,0,8,2009,124000
1417,190,11340,4,6,1885,1950,0,0,777,777,1246,1044,0,2290,0,0,2,0,4,2,11,0,2,560,0,0,114,0,0,0,0,4,2010,122500
731,120,5389,8,5,1995,1996,1180,0,415,1595,1616,0,0,1616,1,0,2,0,2,1,5,1,2,608,237,152,0,0,0,0,0,3,2010,236500
995,20,12456,10,5,2006,2007,1172,0,528,1700,1718,0,0,1718,1,0,2,0,3,1,7,1,3,786,216,48,0,0,0,0,0,7,2009,337500
384,45,9000,6,3,1928,1950,0,0,784,784,784,0,0,784,0,0,1,0,2,1,5,0,2,360,0,0,91,0,0,0,0,10,2009,76000
993,60,9760,6,8,1964,1993,536,117,169,822,1020,831,0,1851,0,0,2,1,3,1,7,1,2,440,239,42,0,0,0,0,0,7,2007,187000
532,70,6155,6,8,1920,1999,0,0,611,611,751,611,0,1362,0,0,2,0,3,1,6,0,2,502,0,0,84,0,0,0,0,6,2008,128000
743,20,8450,7,5,2000,2001,0,0,1349,1349,1349,0,0,1349,0,0,2,0,3,1,6,0,2,539,120,55,0,0,0,0,0,12,2007,179000
799,60,13518,9,5,2008,2009,0,0,1926,1926,1966,1174,0,3140,0,0,3,1,4,1,11,2,3,820,144,78,0,0,0,0,0,7,2009,485000
433,160,1920,5,5,1971,1971,471,0,294,765,765,600,0,1365,1,0,1,1,2,1,6,0,2,440,240,36,0,0,0,0,0,8,2007,122500
810,75,8100,5,5,1898,1965,0,0,849,849,1075,1063,0,2138,0,0,2,0,2,3,11,0,2,360,40,156,0,0,0,0,0,11,2009,106000
