Index,continent,geographic_location,country,economicActivityFemale,economicActivityMale,gdpPerCapita,illiteracyFemale,illiteracyMale,infantMortality,lifeFemale,lifeMale
1,Asia,Western Asia,Yemen,1.9,80.6,1924,69.552,32.406,80,58.4,57.4
2,Asia,Western Asia,Saudi Arabia,6.9,78.8,48099,49.8,28.5,23,73.4,69.9
3,Asia,Southern Asia,Afghanistan,7.2,87.5,2474,85,52.8,154,46,45
4,Africa,Northern Africa,Algeria,7.8,76.4,11433,51,26.1,44,70.3,67.5
5,Asia,Southern Asia,Iran,9.9,79.8,13513,40.7,22.3,39,70,68.5
6,Asia,Western Asia,Iraq,10.3,74,10038,55,29.3,95,63.9,60.9
7,Asia,Western Asia,Jordan,12.7,72.5,10590,20.6,6.6,30,71.8,67.7
8,Asia,Southern Asia,Pakistan,12.7,82.3,5224,75.6,50,74,65.1,62.9
9,Asia,Western Asia,Oman,15.8,84.1,30404,7.31,3.01,25,73.3,68.9
10,North America,North America,Guatemala,18.4,84,8648,51.4,37.5,40,69.8,64.7
11,Asia,Southern Asia,Maldives,20.2,77.3,23343,7,6.7,49,63.3,65.7
12,Africa,Northern Africa,Tunisia,20.3,75.4,10594,45.4,21.4,37,70.7,68.4
13,Africa,Northern Africa,Egypt,21.6,73.4,13083,61.2,36.4,54,67.3,64.7
14,Oceania,Oceania,Fiji,23.3,85.4,12298,10.7,6.2,20,74.9,70.6
15,Asia,Western Asia,United Arab.Emirates,24.2,92.5,43103,20.2,21.1,15,76.5,73.9
16,Africa,Western Africa,Senegal,24.3,83.1,3625,76.8,57,62,52.3,50.3
17,Africa,Northern Africa,Morocco,25.1,74.9,8027,69,43.4,51,68.5,64.8
18,Africa,Middle Africa,Chad,25.3,91.2,1621,65.3,37.9,115,49.3,46.3
19,Africa,Northern Africa,Sudan,25.9,74.6,4082,65.4,42.3,71,56.4,53.6
20,South America,South America,Paraguay,26.1,85.7,13454,9.4,6.5,39,72,67.5
21,Europe,Southern Europe,Malta,27.4,74.1,45042,11.088,10.758,8,79.1,74.6
22,Asia,Western Asia,Qatar,27.5,93,97262,20.1,20.8,17,75.4,70
23,Africa,Southern Africa,Swaziland,27.7,64.3,3415,24.4,22,65,62.3,57.7
24,Asia,Western Asia,Bahrain,29.2,88.2,50284,20.6,10.9,18,75.3,71.1
25,Oceania,Oceania,Marshall Islands,30,77,3767,9.72,5.94,26,63,59.1
26,Asia,Western Asia,Turkey,30.6,75.9,32278,27.6,8.3,44,71.7,66.5
27,South America,South America,Suriname,32.6,64.2,14703,9,4.9,24,74,69
28,Oceania,Oceania,Micronesia,33,65,3372,22.176,15.378,20,68.8,64.4
29,North America,North America,Costa Rica,33.3,79.2,20667,5,5.3,12,79.2,74.5
30,North America,North America,Nicaragua,33.4,84.5,5648,33.4,35.4,44,70.6,65.8
31,Asia,Southern Asia,India,33.7,80.4,7333,62.3,34.5,72,62.7,62.1
32,South America,South America,Peru,33.9,51.2,12985,17,5.5,45,70.9,65.9
33,North America,North America,Belize,34,79,6133,23.472,21.252,30,76.1,73.4
34,Asia,Western Asia,Kuwait,34.3,80.1,41507,25.1,17.8,14,78.2,74.1
35,South America,South America,Chile,34.5,75.5,24928,5,4.6,13,78.3,72.3
36,Europe,Southern Europe,Italy,34.6,61.6,43376,2.4,1.4,7,81.4,75.1
37,North America,North America,Honduras,34.7,86.4,5698,27.3,27.4,35,72.3,67.5
38,North America,North America,Puerto Rico,35.1,64,12213,9.936,7.788,9,80.5,72.5
39,Asia,Southern Asia,Sri Lanka,35.5,75.6,13909,12.8,6.6,15,75.4,70.9
40,Europe,Southern Europe,Greece,36.1,64.7,30495,4.7,1.7,8,80.6,75.5
41,Europe,Southern Europe,Spain,37,63.1,41546,3.9,1.8,7,81.5,74.5
42,Africa,Western Africa,Nigeria,37.2,78.3,5280,52.7,32.7,77,54,50.8
43,Europe,Western Europe,Luxembourg,37.3,65.7,122740,1,1,6,79.7,73.1
44,North America,North America,Mexico,37.4,83.9,20266,12.6,8.2,31,75.5,69.5
45,Africa,Eastern Africa,Mauritius,38.8,80.1,22030,21.2,12.9,15,75,68.3
46,Asia,South-eastern Asia,Myanmar,38.9,73.8,4831,22.3,11.3,78,61.8,58.5
47,South America,South America,Guyana,39.3,81.2,23258,2.5,1.4,58,67.9,61.1
48,Oceania,Oceania,Samoa,40.2,77.3,5260,1.656,1.848,58,71.1,67.5
49,North America,North America,El Salvador,40.6,79.8,8891,30.2,26.5,39,72.5,66.5
50,Europe,Northern Europe,Ireland,41.1,67.8,99239,1,1,6,79.4,74
51,Africa,Western Africa,Cape Verde,41.1,85.1,6837,36.2,18.6,41,67.5,65.5
52,North America,North America,Cuba,41.2,72.6,9099,4.7,3.8,9,78,74.2
53,South America,South America,Venezuela,41.2,82.1,5178,9.7,8.2,21,75.7,70
54,South America,South America,Argentina,41.3,76.2,22141,3.8,3.8,22,76.8,69.6
55,Africa,Southern Africa,Botswana,41.7,75.4,18113,40.1,19.5,56,51.7,48.9
56,Africa,Eastern Africa,Reunion,41.9,62.6,11854,20.304,21.912,7,79.8,70.9
57,Africa,Western Africa,Ivory Coast,42,88.7,5642,70,50.1,86,52.2,50
58,Asia,South-eastern Asia,Malaysia,42.2,77.1,29340,21.9,10.9,11,74.3,69.9
59,Africa,Middle Africa,Equatorial Guinea,42.4,89.1,18236,31.9,10.4,107,51.6,48.4
60,North America,North America,Panama,42.5,81.3,30388,9.8,8.6,21,76.4,71.8
61,North America,North America,Dominican Republic,42.9,82.6,19799,17.8,18,34,73.1,68.9
62,Europe,Eastern Europe,Macedonia,42.9,67,5888,3.2,2.2,23,74.7,70.3
63,Europe,Eastern Europe,Hungary,43.4,61.1,35088,1,0.7,14,73.8,64.5
64,Oceania,Oceania,Cook Islands,43.6,71.4,10466,4.104,3.102,26,73,67
65,Europe,Southern Europe,Croatia,44,64.1,29777,4.32,0.924,10,76.5,68.1
66,Africa,Western Africa,Gambia,44.8,70.2,2384,75.1,47.2,122,48.7,45.4
67,North America,North America,Trinidad and Tobago,44.9,75.5,25883,3,1.2,14,76.2,71.5
68,Africa,Western Africa,Guinea,44.9,79.9,2731,78.1,50.1,124,47,46
69,Oceania,Oceania,Tonga,45.4,74.2,6156,0.504,0.264,3,71,67
70,Asia,Western Asia,Israel,45.6,62.1,42570,6.696,2.442,7,79.5,75.7
71,Asia,South-eastern Asia,Brunei,46.4,82.2,64405,16.6,7.4,9,78.1,73.4
72,South America,South America,Uruguay,46.7,74,23474,2.3,3.1,17,76.1,69.6
73,Africa,Eastern Africa,Zimbabwe,46.7,77.7,2698,20.1,9.6,68,49.4,47.6
74,Europe,Western Europe,Germany,47.3,68.1,56956,1,1,6,79.9,73.4
75,Asia,Western Asia,Cyprus,47.6,78,41595,9,2.046,7,79.8,75.4
76,Europe,Western Europe,Austria,47.7,69.5,57891,1,1,6,80.1,73.7
77,Asia,Eastern Asia,Hong Kong,47.8,76,62839,11.8,4,5,81.8,76.1
78,Europe,Western Europe,France,48.4,62.7,49492,1,1,7,82.9,74.6
79,South America,South America,Ecuador,48.4,79.7,11331,11.8,8,46,72.5,67.3
