pl_name,sy_snum,sy_pnum,cb_flag,disc_year,disc_locale,disc_facility,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,pl_controv_flag,pl_orbper,pl_rade,pl_dens,ttv_flag,st_teff,st_rad,st_mass,st_lum,st_logg
Kepler-405 b,1,2,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,10.613839,2.08,3.04,0,5818,0.89,0.91,-0.331,4.54
K2-198 c,1,3,0,2019,Space,K2,0,0,0,1,0,0,0,0,0,0,3.3596055,1.423,4.98,0,5212.9,0.76,0.8,-0.401,4.6
Kepler-1833 b,1,1,0,2021,Space,Kepler,0,0,0,1,0,0,0,0,0,0,6.8921299,1.3,5.6,0,6164,1.45,1.29,0.437,4.23
K2-324 b,1,1,0,2020,Space,K2,0,0,0,1,0,0,0,0,0,0,3.262,2.43,2.48,0,3752,0.51,0.52,-1.333,4.74
Kepler-169 f,1,5,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,87.090195,2.58,2.3,0,4997,0.76,0.84,-0.496,4.58
KOI-12 b,1,2,0,2015,Space,Kepler,1,0,0,1,0,0,0,0,0,0,17.855182,13.787,0.733,1,6635,1.4,1.5,0.626,4.31
HD 45184 c,1,2,0,2019,Ground,La Silla Observatory,1,0,0,0,0,0,0,0,0,0,13.1354,2.91,1.96,0,5869,1.08,1.03,0.053,4.47
WASP-83 b,1,1,0,2015,Ground,SuperWASP,1,0,0,1,0,0,0,0,0,0,4.971252,11.657,0.35,0,5510,1.05,1.11,-0.05,4.44
Kepler-298 c,1,3,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,22.92881,1.93,3.35,0,4465,0.58,0.66,-0.733,4.71
HD 152843 b,1,2,0,2021,Space,Transiting Exoplanet Survey Satellite (TESS),1,0,0,1,0,0,0,0,0,0,11.6264,3.41,1.58,0,6310,1.43,1.15,0.45,4.19
Kepler-315 b,1,2,0,2014,Space,Kepler,0,0,0,1,0,0,0,0,0,0,96.101141,3.77,1.4,1,5796,1.04,0.98,0.004,4.38
HD 141399 b,1,4,0,2014,Ground,Multiple Observatories,1,0,0,0,0,0,0,0,0,0,94.44,14.3,0.269,0,5600,1.39,1.07,0.201,4.28
Kepler-943 b,1,1,0,2016,Space,Kepler,0,0,0,1,0,0,0,0,0,0,49.7701438,5.93,0.777,0,5612,0.91,0.93,0.407,4.5
Kepler-1787 b,1,1,0,2021,Space,Kepler,0,0,0,1,0,0,0,0,0,0,39.31370163,2.319,2.64,0,6060,0.93,1.01,-0.098,4.51
HD 99492 b,2,1,0,2004,Ground,W. M. Keck Observatory,1,0,0,0,0,0,0,0,0,0,17.0431,5.02,0.966,0,4815,0.83,0.48,-0.475,4.28
