age,education,day,month,y,duration
42,primary,15,may,no,262
37,secondary,20,jun,no,167
32,secondary,17,apr,no,819
53,primary,28,jul,yes,388
32,tertiary,2,jun,no,183
28,secondary,18,may,no,379
41,secondary,31,jul,no,847
36,secondary,19,may,no,103
44,secondary,12,may,no,596
28,secondary,30,jan,no,199
35,secondary,2,jun,no,169
50,tertiary,8,jan,no,249
31,secondary,21,nov,no,208
55,secondary,29,jul,no,277
31,tertiary,4,feb,no,112
44,secondary,7,may,no,171
36,tertiary,13,may,no,131
70,tertiary,6,feb,no,146
37,secondary,18,jun,no,15
30,secondary,18,may,no,22
49,primary,9,may,no,1080
35,secondary,30,jul,no,740
37,tertiary,20,nov,no,110
32,secondary,18,nov,no,111
44,secondary,7,jul,no,835
63,secondary,14,aug,yes,276
31,secondary,4,oct,no,5
29,secondary,14,may,yes,1075
38,tertiary,8,jul,no,182
53,tertiary,17,nov,no,560
30,tertiary,14,dec,no,446
30,secondary,28,may,no,64
32,secondary,20,apr,no,60
35,secondary,7,may,no,17
28,tertiary,27,may,no,125
39,secondary,18,nov,no,365
56,primary,17,jul,no,82
32,tertiary,14,oct,yes,216
37,unknown,23,sep,yes,272
29,unknown,28,may,no,597
51,unknown,29,may,no,117
38,secondary,11,may,no,286
40,secondary,21,may,no,171
34,secondary,2,jun,no,159
48,tertiary,27,aug,no,129
29,unknown,4,jun,no,169
60,secondary,16,mar,yes,279
43,primary,14,may,no,109
30,secondary,24,jul,no,205
56,secondary,15,may,no,79
38,secondary,7,may,no,72
28,secondary,25,may,yes,252
45,secondary,9,feb,no,102
56,secondary,20,may,no,51
32,secondary,17,apr,no,645
36,secondary,5,jun,no,152
34,secondary,13,aug,no,12
55,tertiary,23,jul,no,1331
40,secondary,16,jul,no,464
48,secondary,17,nov,no,123
34,primary,7,jul,no,199
39,primary,6,may,no,232
51,secondary,5,jun,no,78
48,secondary,28,jan,no,142
52,tertiary,7,may,no,100
26,tertiary,29,jan,no,221
47,unknown,19,may,no,18
43,secondary,25,may,yes,282
57,secondary,25,aug,no,93
36,tertiary,27,aug,no,558
54,secondary,7,may,no,799
27,secondary,24,jul,no,203
40,secondary,17,nov,no,57
29,primary,11,jul,no,109
41,tertiary,21,nov,no,855
37,tertiary,28,may,no,244
29,tertiary,9,may,no,200
46,primary,20,apr,no,386
53,tertiary,30,jul,no,50
33,tertiary,30,apr,no,94
50,tertiary,20,nov,no,141
54,secondary,6,jun,no,94
59,primary,16,jun,no,41
37,tertiary,6,aug,no,99
37,tertiary,6,may,no,149
36,tertiary,17,jun,no,433
43,secondary,12,aug,yes,289
33,unknown,8,may,no,345
37,tertiary,7,sep,yes,337
52,tertiary,7,jul,no,1284
32,secondary,31,jul,no,99
34,tertiary,5,feb,no,99
33,tertiary,18,nov,no,348
37,tertiary,26,aug,no,99
29,tertiary,28,jul,no,97
36,primary,29,may,no,216
44,primary,19,may,no,197
32,tertiary,21,may,no,322
54,primary,21,nov,no,353
29,secondary,14,jul,no,115
31,secondary,31,jul,no,384
36,tertiary,22,jul,no,62
49,secondary,31,jul,no,42
51,primary,8,may,no,61
47,unknown,7,may,no,164
27,secondary,21,may,no,127
36,tertiary,8,aug,no,75
47,secondary,30,jan,no,188
52,tertiary,30,may,no,33
53,secondary,16,may,no,343
56,secondary,13,may,no,81
40,secondary,18,may,no,197
40,secondary,20,nov,no,82
27,secondary,30,may,no,435
36,secondary,7,may,no,589
39,tertiary,24,sep,no,157
38,secondary,23,may,no,59
44,unknown,30,jul,no,84
37,primary,6,may,no,222
38,secondary,29,may,no,122
75,primary,4,feb,yes,136
43,primary,12,may,no,205
22,secondary,9,may,no,238
31,secondary,16,jul,no,350
32,secondary,27,may,no,157
38,tertiary,4,feb,no,89
30,secondary,28,may,no,116
31,secondary,8,aug,no,73
33,tertiary,4,feb,no,147
53,tertiary,22,feb,yes,392
45,secondary,15,may,no,714
54,tertiary,21,dec,yes,267
42,unknown,18,may,no,212
35,secondary,21,may,no,272
31,primary,24,jul,no,326
72,primary,28,aug,no,359
67,secondary,8,feb,yes,186
44,primary,23,jul,no,187
30,tertiary,15,may,no,251
34,primary,13,may,no,369
36,secondary,13,may,no,1052
43,secondary,21,nov,no,48
31,secondary,20,aug,no,110
28,secondary,30,jan,no,121
36,tertiary,15,may,no,33
34,secondary,29,aug,no,67
40,primary,19,jun,no,172
36,primary,11,jun,no,222
36,secondary,8,may,no,91
31,secondary,1,jul,no,484
32,secondary,28,jul,no,86
53,tertiary,28,jan,no,160
44,secondary,16,feb,yes,127
55,tertiary,5,may,no,174
50,tertiary,20,apr,no,6
30,primary,15,jul,yes,808
38,tertiary,15,may,no,10
51,secondary,5,may,no,79
60,secondary,2,jun,no,210
31,secondary,15,jul,no,211
43,tertiary,28,aug,no,40
22,secondary,19,may,no,194
48,secondary,20,apr,no,242
59,tertiary,29,jul,no,85
25,secondary,14,jul,no,114
29,secondary,17,jul,no,143
56,tertiary,29,jan,no,86
31,secondary,7,may,no,446
34,tertiary,21,may,no,388
50,primary,6,jun,no,79
53,secondary,21,nov,no,184
37,secondary,21,aug,no,200
30,tertiary,7,may,no,174
42,unknown,2,jun,no,156
39,unknown,12,jun,no,135
50,primary,2,jul,no,71
40,secondary,21,nov,no,112
30,primary,16,apr,no,323
46,secondary,18,nov,no,105
49,primary,18,may,no,19
42,secondary,5,feb,yes,656
36,secondary,16,apr,yes,700
54,secondary,14,may,no,302
50,tertiary,18,dec,yes,406
49,secondary,29,aug,no,135
28,secondary,20,apr,no,415
51,primary,13,sep,no,69
49,secondary,26,may,no,155
48,tertiary,12,jun,yes,1243
47,primary,30,apr,yes,774
46,primary,21,nov,no,118
43,secondary,19,may,no,546
47,unknown,13,may,no,245
60,tertiary,28,aug,no,26
23,secondary,14,may,no,136
26,secondary,29,jan,no,235
43,secondary,17,jul,no,282
44,secondary,15,jul,no,90
45,tertiary,11,jun,no,144
32,unknown,20,may,no,57
54,tertiary,5,aug,no,214
29,secondary,17,apr,no,218
35,tertiary,16,oct,no,108
31,secondary,20,oct,no,164
31,tertiary,7,jul,no,124
60,primary,1,apr,yes,111
60,tertiary,20,jun,no,42
35,secondary,27,jan,no,240
33,tertiary,12,aug,no,711
52,secondary,29,aug,no,67
28,secondary,27,feb,yes,79
37,tertiary,13,aug,yes,846
41,tertiary,14,dec,no,352
35,primary,6,may,no,154
45,primary,12,aug,no,73
32,tertiary,18,may,no,50
56,secondary,30,jan,no,479
28,secondary,28,jan,no,90
55,secondary,6,may,no,233
29,secondary,20,apr,no,19
58,secondary,25,jun,no,67
55,secondary,19,jun,no,268
31,secondary,16,apr,no,139
56,secondary,21,nov,no,189
33,secondary,7,aug,no,133
33,secondary,28,aug,no,385
48,secondary,6,jun,no,298
57,secondary,20,nov,no,340
50,primary,28,may,no,66
29,secondary,18,may,no,172
34,secondary,23,may,no,621
31,secondary,17,apr,no,469
58,secondary,21,jul,no,119
31,secondary,7,jul,no,340
50,secondary,6,aug,no,439
47,primary,30,may,no,35
43,secondary,15,may,no,436
31,tertiary,27,may,no,145
46,primary,10,jul,no,270
26,secondary,12,feb,yes,218
40,tertiary,28,may,no,191
46,secondary,8,may,no,218
57,tertiary,18,nov,no,79
33,tertiary,18,feb,no,240
48,secondary,12,may,no,139
34,primary,17,apr,no,182
57,tertiary,8,aug,no,178
37,secondary,5,jun,no,80
44,tertiary,12,aug,yes,137
57,primary,16,may,no,38
30,tertiary,6,may,no,45
48,secondary,8,jul,no,117
51,secondary,15,jul,yes,1001
60,secondary,4,may,no,287
37,tertiary,27,may,no,774
58,primary,17,apr,no,392
49,tertiary,19,aug,no,131
26,secondary,8,jul,no,304
38,tertiary,8,apr,yes,350
55,secondary,28,jul,no,388
37,primary,2,feb,no,280
33,primary,15,may,no,122
32,secondary,12,may,no,482
57,secondary,31,jul,no,131
44,secondary,20,jun,yes,911
54,tertiary,31,jul,no,77
48,primary,12,may,no,194
39,primary,31,jul,no,786
44,tertiary,21,nov,no,52
57,primary,29,jan,no,89
39,tertiary,30,apr,no,127
46,primary,21,jul,no,91
39,secondary,3,apr,no,179
34,secondary,15,may,yes,1015
36,secondary,18,nov,no,186
29,tertiary,28,may,no,317
30,secondary,2,jun,no,163
56,primary,27,jun,no,291
37,secondary,15,may,no,284
38,primary,5,feb,no,304
40,unknown,29,may,no,431
25,secondary,28,may,no,199
30,secondary,17,apr,no,99
37,tertiary,11,jul,no,69
39,secondary,20,may,no,212
24,tertiary,12,may,no,126
42,secondary,2,feb,no,18
30,secondary,20,nov,no,51
25,unknown,15,mar,no,109
31,secondary,8,may,no,98
34,tertiary,17,nov,no,97
59,primary,18,nov,no,319
44,secondary,9,feb,no,15
53,unknown,20,jun,no,124
31,secondary,29,jun,yes,401
47,primary,21,nov,no,125
40,secondary,20,nov,no,57
45,primary,12,may,no,317
30,tertiary,22,aug,no,209
38,secondary,3,apr,no,125
38,unknown,20,jun,no,95
28,tertiary,8,jul,no,319
36,primary,8,may,no,405
31,tertiary,11,aug,no,140
52,secondary,15,may,no,875
32,secondary,20,may,no,135
24,unknown,13,may,no,109
30,secondary,25,jul,no,61
55,primary,9,jul,no,115
54,tertiary,13,oct,no,167
45,tertiary,28,jan,no,1972
36,secondary,7,may,no,90
38,primary,27,aug,no,101
59,tertiary,16,nov,no,162
33,secondary,7,jan,no,23
61,secondary,23,apr,no,164
54,tertiary,3,mar,no,133
31,primary,12,may,no,178
33,secondary,8,aug,no,100
44,secondary,5,may,no,247
24,secondary,26,may,no,110
47,tertiary,16,feb,yes,261
31,secondary,11,may,no,0
30,secondary,7,may,no,512
46,primary,7,jul,no,407
35,tertiary,13,apr,yes,407
33,secondary,11,may,no,249
27,secondary,19,may,no,57
33,tertiary,30,nov,no,107
50,secondary,14,aug,no,757
33,tertiary,7,may,no,262
32,secondary,15,may,no,63
37,primary,24,jul,no,305
26,tertiary,28,jul,no,377
26,tertiary,17,mar,no,159
76,unknown,28,apr,yes,403
52,tertiary,14,may,no,166
28,unknown,19,may,no,396
36,secondary,17,nov,no,273
78,primary,11,may,no,97
30,tertiary,25,aug,no,301
33,secondary,20,nov,no,282
39,tertiary,21,nov,no,151
58,secondary,12,aug,no,110
51,secondary,19,nov,no,193
55,tertiary,9,jul,no,111
40,secondary,7,aug,no,125
45,secondary,27,may,yes,275
32,primary,20,may,no,14
45,secondary,30,jun,no,103
55,tertiary,17,nov,no,89
33,secondary,6,may,no,623
42,tertiary,30,apr,yes,316
34,tertiary,20,nov,no,308
34,secondary,14,may,no,282
59,secondary,3,feb,no,288
31,tertiary,26,aug,no,74
39,tertiary,28,jan,no,139
44,secondary,18,aug,no,212
54,secondary,29,jan,no,283
45,secondary,3,feb,no,235
37,tertiary,5,jun,no,247
53,secondary,17,apr,no,109
51,secondary,15,jul,yes,881
50,secondary,18,jun,no,305
33,tertiary,6,may,no,290
37,secondary,15,jul,no,348
39,primary,9,may,no,180
49,primary,9,jun,no,210
35,secondary,17,apr,no,216
33,secondary,30,jun,no,266
30,secondary,5,may,no,275
30,tertiary,25,jul,no,396
57,secondary,7,aug,no,102
39,secondary,7,may,no,214
30,tertiary,7,aug,no,109
36,secondary,29,jul,no,121
38,secondary,17,nov,no,258
54,tertiary,13,feb,no,94
56,secondary,18,aug,no,213
42,tertiary,26,aug,yes,513
47,secondary,22,aug,no,118
39,secondary,12,may,no,22
40,tertiary,18,nov,no,81
45,primary,14,may,no,263
35,secondary,20,may,no,148
35,tertiary,4,feb,no,357
30,secondary,19,may,yes,212
46,secondary,16,may,no,297
52,secondary,6,jun,no,384
51,primary,24,jul,no,149
57,tertiary,18,nov,no,97
41,secondary,13,may,no,205
48,secondary,12,aug,no,409
55,primary,25,aug,no,89
50,secondary,9,jul,no,95
35,tertiary,17,apr,no,220
34,secondary,21,nov,no,21
30,secondary,3,jun,no,23
34,primary,26,may,no,405
40,secondary,20,jun,no,269
40,secondary,27,may,no,107
26,secondary,14,may,no,7
31,secondary,20,may,no,26
59,tertiary,8,jul,no,430
30,tertiary,21,jul,no,200
39,secondary,17,jul,no,260
21,secondary,12,oct,yes,180
52,secondary,22,jul,no,81
34,secondary,25,jun,no,53
58,primary,15,apr,no,469
78,secondary,24,feb,yes,151
39,tertiary,5,apr,yes,208
54,secondary,10,jul,no,66
27,unknown,30,may,no,85
66,secondary,2,feb,no,169
45,tertiary,19,jun,yes,835
39,secondary,26,aug,no,183
35,secondary,6,feb,no,12
54,tertiary,2,feb,no,161
39,primary,18,jul,no,215
57,tertiary,29,aug,no,68
