survived,sex,age,sibsp,parch,fare,embarked,pclass
0,male,22.0,1,0,7.25,S,Third
1,female,38.0,1,0,71.2833,C,First
1,female,26.0,0,0,7.925,S,Third
1,female,35.0,1,0,53.1,S,First
0,male,35.0,0,0,8.05,S,Third
0,male,29.69911764705882,0,0,8.4583,Q,Third
0,male,54.0,0,0,51.8625,S,First
0,male,2.0,3,1,21.075,S,Third
1,female,27.0,0,2,11.1333,S,Third
1,female,14.0,1,0,30.0708,C,Second
1,female,4.0,1,1,16.7,S,Third
1,female,58.0,0,0,26.55,S,First
0,male,20.0,0,0,8.05,S,Third
0,male,39.0,1,5,31.275,S,Third
0,female,14.0,0,0,7.8542,S,Third
1,female,55.0,0,0,16.0,S,Second
0,male,2.0,4,1,29.125,Q,Third
1,male,29.69911764705882,0,0,13.0,S,Second
0,female,31.0,1,0,18.0,S,Third
1,female,29.69911764705882,0,0,7.225,C,Third
0,male,35.0,0,0,26.0,S,Second
1,male,34.0,0,0,13.0,S,Second
1,female,15.0,0,0,8.0292,Q,Third
1,male,28.0,0,0,35.5,S,First
0,female,8.0,3,1,21.075,S,Third
1,female,38.0,1,5,31.3875,S,Third
0,male,29.69911764705882,0,0,7.225,C,Third
0,male,19.0,3,2,263.0,S,First
1,female,29.69911764705882,0,0,7.8792,Q,Third
0,male,29.69911764705882,0,0,7.8958,S,Third
0,male,40.0,0,0,27.7208,C,First
1,female,29.69911764705882,1,0,146.5208,C,First
1,female,29.69911764705882,0,0,7.75,Q,Third
0,male,66.0,0,0,10.5,S,Second
0,male,28.0,1,0,82.1708,C,First
0,male,42.0,1,0,52.0,S,First
1,male,29.69911764705882,0,0,7.2292,C,Third
0,male,21.0,0,0,8.05,S,Third
0,female,18.0,2,0,18.0,S,Third
1,female,14.0,1,0,11.2417,C,Third
0,female,40.0,1,0,9.475,S,Third
0,female,27.0,1,0,21.0,S,Second
0,male,29.69911764705882,0,0,7.8958,C,Third
1,female,3.0,1,2,41.5792,C,Second
1,female,19.0,0,0,7.8792,Q,Third
0,male,29.69911764705882,0,0,8.05,S,Third
0,male,29.69911764705882,1,0,15.5,Q,Third
1,female,29.69911764705882,0,0,7.75,Q,Third
0,male,29.69911764705882,2,0,21.6792,C,Third
0,female,18.0,1,0,17.8,S,Third
0,male,7.0,4,1,39.6875,S,Third
0,male,21.0,0,0,7.8,S,Third
1,female,49.0,1,0,76.7292,C,First
1,female,29.0,1,0,26.0,S,Second
0,male,65.0,0,1,61.9792,C,First
1,male,29.69911764705882,0,0,35.5,S,First
1,female,21.0,0,0,10.5,S,Second
0,male,28.5,0,0,7.2292,C,Third
1,female,5.0,1,2,27.75,S,Second
0,male,11.0,5,2,46.9,S,Third
0,male,22.0,0,0,7.2292,C,Third
1,female,38.0,0,0,80.0,,First
0,male,45.0,1,0,83.475,S,First
0,male,4.0,3,2,27.9,S,Third
0,male,29.69911764705882,0,0,27.7208,C,First
1,male,29.69911764705882,1,1,15.2458,C,Third
1,female,29.0,0,0,10.5,S,Second
0,male,19.0,0,0,8.1583,S,Third
1,female,17.0,4,2,7.925,S,Third
0,male,26.0,2,0,8.6625,S,Third
0,male,32.0,0,0,10.5,S,Second
0,female,16.0,5,2,46.9,S,Third
0,male,21.0,0,0,73.5,S,Second
0,male,26.0,1,0,14.4542,C,Third
1,male,32.0,0,0,56.4958,S,Third
0,male,25.0,0,0,7.65,S,Third
0,male,29.69911764705882,0,0,7.8958,S,Third
0,male,29.69911764705882,0,0,8.05,S,Third
1,male,0.83,0,2,29.0,S,Second
1,female,30.0,0,0,12.475,S,Third
0,male,22.0,0,0,9.0,S,Third
1,male,29.0,0,0,9.5,S,Third
1,female,29.69911764705882,0,0,7.7875,Q,Third
0,male,28.0,0,0,47.1,S,First
1,female,17.0,0,0,10.5,S,Second
1,female,33.0,3,0,15.85,S,Third
0,male,16.0,1,3,34.375,S,Third
0,male,29.69911764705882,0,0,8.05,S,Third
1,female,23.0,3,2,263.0,S,First
0,male,24.0,0,0,8.05,S,Third
0,male,29.0,0,0,8.05,S,Third
0,male,20.0,0,0,7.8542,S,Third
0,male,46.0,1,0,61.175,S,First
0,male,26.0,1,2,20.575,S,Third
0,male,59.0,0,0,7.25,S,Third
0,male,29.69911764705882,0,0,8.05,S,Third
0,male,71.0,0,0,34.6542,C,First
1,male,23.0,0,1,63.3583,C,First
1,female,34.0,0,1,23.0,S,Second
0,male,34.0,1,0,26.0,S,Second
0,female,28.0,0,0,7.8958,S,Third
0,male,29.69911764705882,0,0,7.8958,S,Third
0,male,21.0,0,1,77.2875,S,First
0,male,33.0,0,0,8.6542,S,Third
0,male,37.0,2,0,7.925,S,Third
0,male,28.0,0,0,7.8958,S,Third
1,female,21.0,0,0,7.65,S,Third
1,male,29.69911764705882,0,0,7.775,S,Third
0,male,38.0,0,0,7.8958,S,Third
1,female,29.69911764705882,1,0,24.15,Q,Third
0,male,47.0,0,0,52.0,S,First
0,female,14.5,1,0,14.4542,C,Third
0,male,22.0,0,0,8.05,S,Third
0,female,20.0,1,0,9.825,S,Third
0,female,17.0,0,0,14.4583,C,Third
0,male,21.0,0,0,7.925,S,Third
0,male,70.5,0,0,7.75,Q,Third
0,male,29.0,1,0,21.0,S,Second
0,male,24.0,0,1,247.5208,C,First
0,female,2.0,4,2,31.275,S,Third
0,male,21.0,2,0,73.5,S,Second
0,male,29.69911764705882,0,0,8.05,S,Third
0,male,32.5,1,0,30.0708,C,Second
1,female,32.5,0,0,13.0,S,Second
0,male,54.0,0,1,77.2875,S,First
1,male,12.0,1,0,11.2417,C,Third
0,male,29.69911764705882,0,0,7.75,Q,Third
1,male,24.0,0,0,7.1417,S,Third
1,female,29.69911764705882,1,1,22.3583,C,Third
0,male,45.0,0,0,6.975,S,Third
0,male,33.0,0,0,7.8958,C,Third
0,male,20.0,0,0,7.05,S,Third
0,female,47.0,1,0,14.5,S,Third
1,female,29.0,1,0,26.0,S,Second
0,male,25.0,0,0,13.0,S,Second
0,male,23.0,0,0,15.0458,C,Second
1,female,19.0,0,2,26.2833,S,First
0,male,37.0,1,0,53.1,S,First
0,male,16.0,0,0,9.2167,S,Third
0,male,24.0,0,0,79.2,C,First
0,female,29.69911764705882,0,2,15.2458,C,Third
1,female,22.0,0,0,7.75,S,Third
1,female,24.0,1,0,15.85,S,Third
0,male,19.0,0,0,6.75,Q,Third
0,male,18.0,0,0,11.5,S,Second
0,male,19.0,1,1,36.75,S,Second
1,male,27.0,0,0,7.7958,S,Third
0,female,9.0,2,2,34.375,S,Third
0,male,36.5,0,2,26.0,S,Second
0,male,42.0,0,0,13.0,S,Second
0,male,51.0,0,0,12.525,S,Second
1,female,22.0,1,0,66.6,S,First
0,male,55.5,0,0,8.05,S,Third
0,male,40.5,0,2,14.5,S,Third
0,male,29.69911764705882,0,0,7.3125,S,Third
0,male,51.0,0,1,61.3792,C,First
1,female,16.0,0,0,7.7333,Q,Third
0,male,30.0,0,0,8.05,S,Third
0,male,29.69911764705882,0,0,8.6625,S,Third
0,male,29.69911764705882,8,2,69.55,S,Third
0,male,44.0,0,1,16.1,S,Third
1,female,40.0,0,0,15.75,S,Second
0,male,26.0,0,0,7.775,S,Third
0,male,17.0,0,0,8.6625,S,Third
0,male,1.0,4,1,39.6875,S,Third
1,male,9.0,0,2,20.525,S,Third
1,female,29.69911764705882,0,1,55.0,S,First
0,female,45.0,1,4,27.9,S,Third
0,male,29.69911764705882,0,0,25.925,S,First
0,male,28.0,0,0,56.4958,S,Third
0,male,61.0,0,0,33.5,S,First
0,male,4.0,4,1,29.125,Q,Third
1,female,1.0,1,1,11.1333,S,Third
0,male,21.0,0,0,7.925,S,Third
0,male,56.0,0,0,30.6958,C,First
0,male,18.0,1,1,7.8542,S,Third
0,male,29.69911764705882,3,1,25.4667,S,Third
0,female,50.0,0,0,28.7125,C,First
0,male,30.0,0,0,13.0,S,Second
0,male,36.0,0,0,0.0,S,Third
0,female,29.69911764705882,8,2,69.55,S,Third
0,male,29.69911764705882,0,0,15.05,C,Second
0,male,9.0,4,2,31.3875,S,Third
1,male,1.0,2,1,39.0,S,Second
1,female,4.0,0,2,22.025,S,Third
0,male,29.69911764705882,0,0,50.0,S,First
1,female,29.69911764705882,1,0,15.5,Q,Third
1,male,45.0,0,0,26.55,S,First
0,male,40.0,1,1,15.5,Q,Third
0,male,36.0,0,0,7.8958,S,Third
1,female,32.0,0,0,13.0,S,Second
0,male,19.0,0,0,13.0,S,Second
1,female,19.0,1,0,7.8542,S,Third
1,male,3.0,1,1,26.0,S,Second
1,female,44.0,0,0,27.7208,C,First
1,female,58.0,0,0,146.5208,C,First
0,male,29.69911764705882,0,0,7.75,Q,Third
0,male,42.0,0,1,8.4042,S,Third
1,female,29.69911764705882,0,0,7.75,Q,Third
0,female,24.0,0,0,13.0,S,Second
0,male,28.0,0,0,9.5,S,Third
0,male,29.69911764705882,8,2,69.55,S,Third
0,male,34.0,0,0,6.4958,S,Third
0,male,45.5,0,0,7.225,C,Third
1,male,18.0,0,0,8.05,S,Third
0,female,2.0,0,1,10.4625,S,Third
0,male,32.0,1,0,15.85,S,Third
1,male,26.0,0,0,18.7875,C,Third
1,female,16.0,0,0,7.75,Q,Third
1,male,40.0,0,0,31.0,C,First
0,male,24.0,0,0,7.05,S,Third
1,female,35.0,0,0,21.0,S,Second
0,male,22.0,0,0,7.25,S,Third
0,male,30.0,0,0,13.0,S,Second
0,male,29.69911764705882,1,0,7.75,Q,Third
1,female,31.0,1,0,113.275,C,First
1,female,27.0,0,0,7.925,S,Third
0,male,42.0,1,0,27.0,S,Second
1,female,32.0,0,0,76.2917,C,First
0,male,30.0,0,0,10.5,S,Second
1,male,16.0,0,0,8.05,S,Third
0,male,27.0,0,0,13.0,S,Second
0,male,51.0,0,0,8.05,S,Third
0,male,29.69911764705882,0,0,7.8958,S,Third
1,male,38.0,1,0,90.0,S,First
0,male,22.0,0,0,9.35,S,Third
1,male,19.0,0,0,10.5,S,Second
0,male,20.5,0,0,7.25,S,Third
0,male,18.0,0,0,13.0,S,Second
0,female,29.69911764705882,3,1,25.4667,S,Third
1,female,35.0,1,0,83.475,S,First
0,male,29.0,0,0,7.775,S,Third
0,male,59.0,0,0,13.5,S,Second
1,female,5.0,4,2,31.3875,S,Third
0,male,24.0,0,0,10.5,S,Second
0,female,29.69911764705882,0,0,7.55,S,Third
0,male,44.0,1,0,26.0,S,Second
1,female,8.0,0,2,26.25,S,Second
0,male,19.0,0,0,10.5,S,Second
0,male,33.0,0,0,12.275,S,Second
0,female,29.69911764705882,1,0,14.4542,C,Third
1,female,29.69911764705882,1,0,15.5,Q,Third
0,male,29.0,0,0,10.5,S,Second
0,male,22.0,0,0,7.125,S,Third
0,male,30.0,0,0,7.225,C,Third
0,male,44.0,2,0,90.0,Q,First
0,female,25.0,0,0,7.775,S,Third
1,female,24.0,0,2,14.5,S,Second
1,male,37.0,1,1,52.5542,S,First
0,male,54.0,1,0,26.0,S,Second
0,male,29.69911764705882,0,0,7.25,S,Third
0,female,29.0,1,1,10.4625,S,Third
0,male,62.0,0,0,26.55,S,First
0,male,30.0,1,0,16.1,S,Third
0,female,41.0,0,2,20.2125,S,Third
1,female,29.0,0,2,15.2458,C,Third
1,female,29.69911764705882,0,0,79.2,C,First
1,female,30.0,0,0,86.5,S,First
1,female,35.0,0,0,512.3292,C,First
1,female,50.0,0,1,26.0,S,Second
0,male,29.69911764705882,0,0,7.75,Q,Third
1,male,3.0,4,2,31.3875,S,Third
0,male,52.0,1,1,79.65,S,First
0,male,40.0,0,0,0.0,S,First
0,female,29.69911764705882,0,0,7.75,Q,Third
0,male,36.0,0,0,10.5,S,Second
0,male,16.0,4,1,39.6875,S,Third
1,male,25.0,1,0,7.775,S,Third
1,female,58.0,0,1,153.4625,S,First
1,female,35.0,0,0,135.6333,S,First
0,male,29.69911764705882,0,0,31.0,S,First
1,male,25.0,0,0,0.0,S,Third
1,female,41.0,0,1,19.5,S,Second
0,male,37.0,0,1,29.7,C,First
1,female,29.69911764705882,0,0,7.75,Q,Third
1,female,63.0,1,0,77.9583,S,First
0,female,45.0,0,0,7.75,S,Third
0,male,29.69911764705882,0,0,0.0,S,Second
0,male,7.0,4,1,29.125,Q,Third
1,female,35.0,1,1,20.25,S,Third
0,male,65.0,0,0,7.75,Q,Third
0,male,28.0,0,0,7.8542,S,Third
0,male,16.0,0,0,9.5,S,Third
1,male,19.0,0,0,8.05,S,Third
0,male,29.69911764705882,0,0,26.0,S,First
0,male,33.0,0,0,8.6625,C,Third
1,male,30.0,0,0,9.5,S,Third
0,male,22.0,0,0,7.8958,S,Third
1,male,42.0,0,0,13.0,S,Second
1,female,22.0,0,0,7.75,Q,Third
1,female,26.0,0,0,78.85,S,First
1,female,19.0,1,0,91.0792,C,First
0,male,36.0,0,0,12.875,C,Second
0,female,24.0,0,0,8.85,S,Third
0,male,24.0,0,0,7.8958,S,Third
0,male,29.69911764705882,0,0,27.7208,C,First
